year;value;universityId;subjectAreaId
2012;86.0;AGH University of Science and Technology;Multidisciplinary
2013;92.0;AGH University of Science and Technology;Multidisciplinary
2014;165.0;AGH University of Science and Technology;Multidisciplinary
2015;566.0;AGH University of Science and Technology;Multidisciplinary
2016;503.0;AGH University of Science and Technology;Multidisciplinary
2017;791.0;AGH University of Science and Technology;Multidisciplinary
2018;148.0;AGH University of Science and Technology;Multidisciplinary
2019;177.0;AGH University of Science and Technology;Multidisciplinary
2020;328.0;AGH University of Science and Technology;Multidisciplinary
2021;248.0;AGH University of Science and Technology;Multidisciplinary
2022;228.0;AGH University of Science and Technology;Multidisciplinary
2023;9.0;AGH University of Science and Technology;Multidisciplinary
2012;None;Białystok University of Technology;Multidisciplinary
2013;None;Białystok University of Technology;Multidisciplinary
2014;14.0;Białystok University of Technology;Multidisciplinary
2015;123.0;Białystok University of Technology;Multidisciplinary
2016;63.0;Białystok University of Technology;Multidisciplinary
2017;70.0;Białystok University of Technology;Multidisciplinary
2018;17.0;Białystok University of Technology;Multidisciplinary
2019;15.0;Białystok University of Technology;Multidisciplinary
2020;130.0;Białystok University of Technology;Multidisciplinary
2021;66.0;Białystok University of Technology;Multidisciplinary
2022;10.0;Białystok University of Technology;Multidisciplinary
2023;1.0;Białystok University of Technology;Multidisciplinary
2012;None;Cracow University of Technology;Multidisciplinary
2013;None;Cracow University of Technology;Multidisciplinary
2014;0.0;Cracow University of Technology;Multidisciplinary
2015;2.0;Cracow University of Technology;Multidisciplinary
2016;9.0;Cracow University of Technology;Multidisciplinary
2017;109.0;Cracow University of Technology;Multidisciplinary
2018;135.0;Cracow University of Technology;Multidisciplinary
2019;29.0;Cracow University of Technology;Multidisciplinary
2020;14.0;Cracow University of Technology;Multidisciplinary
2021;33.0;Cracow University of Technology;Multidisciplinary
2022;12.0;Cracow University of Technology;Multidisciplinary
2023;None;Cracow University of Technology;Multidisciplinary
2012;None;University of Białystok;Multidisciplinary
2013;148.0;University of Białystok;Multidisciplinary
2014;35.0;University of Białystok;Multidisciplinary
2015;126.0;University of Białystok;Multidisciplinary
2016;23.0;University of Białystok;Multidisciplinary
2017;902.0;University of Białystok;Multidisciplinary
2018;146.0;University of Białystok;Multidisciplinary
2019;115.0;University of Białystok;Multidisciplinary
2020;125.0;University of Białystok;Multidisciplinary
2021;169.0;University of Białystok;Multidisciplinary
2022;23.0;University of Białystok;Multidisciplinary
2023;0.0;University of Białystok;Multidisciplinary
2012;92.0;Warsaw University of Technology;Multidisciplinary
2013;33.0;Warsaw University of Technology;Multidisciplinary
2014;59.0;Warsaw University of Technology;Multidisciplinary
2015;252.0;Warsaw University of Technology;Multidisciplinary
2016;479.0;Warsaw University of Technology;Multidisciplinary
2017;726.0;Warsaw University of Technology;Multidisciplinary
2018;227.0;Warsaw University of Technology;Multidisciplinary
2019;706.0;Warsaw University of Technology;Multidisciplinary
2020;612.0;Warsaw University of Technology;Multidisciplinary
2021;126.0;Warsaw University of Technology;Multidisciplinary
2022;138.0;Warsaw University of Technology;Multidisciplinary
2023;13.0;Warsaw University of Technology;Multidisciplinary
2012;None;Poznan University of Economics and Business;Multidisciplinary
2013;None;Poznan University of Economics and Business;Multidisciplinary
2014;None;Poznan University of Economics and Business;Multidisciplinary
2015;None;Poznan University of Economics and Business;Multidisciplinary
2016;None;Poznan University of Economics and Business;Multidisciplinary
2017;None;Poznan University of Economics and Business;Multidisciplinary
2018;1.0;Poznan University of Economics and Business;Multidisciplinary
2019;None;Poznan University of Economics and Business;Multidisciplinary
2020;27.0;Poznan University of Economics and Business;Multidisciplinary
2021;66.0;Poznan University of Economics and Business;Multidisciplinary
2022;4.0;Poznan University of Economics and Business;Multidisciplinary
2023;1.0;Poznan University of Economics and Business;Multidisciplinary
2012;218.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2013;385.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2014;1227.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2015;365.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2016;652.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2017;506.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2018;600.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2019;705.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2020;434.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2021;230.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2022;133.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2023;7.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2012;52.0;Białystok University of Technology;Agricultural and Biological Sciences
2013;43.0;Białystok University of Technology;Agricultural and Biological Sciences
2014;390.0;Białystok University of Technology;Agricultural and Biological Sciences
