year;value;universityId;subjectAreaId
2012;12.285714;AGH University of Science and Technology;Multidisciplinary
2013;15.333333;AGH University of Science and Technology;Multidisciplinary
2014;11.0;AGH University of Science and Technology;Multidisciplinary
2015;17.6875;AGH University of Science and Technology;Multidisciplinary
2016;33.533333;AGH University of Science and Technology;Multidisciplinary
2017;24.71875;AGH University of Science and Technology;Multidisciplinary
2018;9.866667;AGH University of Science and Technology;Multidisciplinary
2019;6.321429;AGH University of Science and Technology;Multidisciplinary
2020;14.909091;AGH University of Science and Technology;Multidisciplinary
2021;5.904762;AGH University of Science and Technology;Multidisciplinary
2022;3.04;AGH University of Science and Technology;Multidisciplinary
2023;1.0;AGH University of Science and Technology;Multidisciplinary
2012;None;Białystok University of Technology;Multidisciplinary
2013;None;Białystok University of Technology;Multidisciplinary
2014;7.0;Białystok University of Technology;Multidisciplinary
2015;61.5;Białystok University of Technology;Multidisciplinary
2016;31.5;Białystok University of Technology;Multidisciplinary
2017;17.5;Białystok University of Technology;Multidisciplinary
2018;8.5;Białystok University of Technology;Multidisciplinary
2019;7.5;Białystok University of Technology;Multidisciplinary
2020;14.444445;Białystok University of Technology;Multidisciplinary
2021;5.076923;Białystok University of Technology;Multidisciplinary
2022;1.4285715;Białystok University of Technology;Multidisciplinary
2023;0.5;Białystok University of Technology;Multidisciplinary
2012;None;Cracow University of Technology;Multidisciplinary
2013;None;Cracow University of Technology;Multidisciplinary
2014;0.0;Cracow University of Technology;Multidisciplinary
2015;2.0;Cracow University of Technology;Multidisciplinary
2016;4.5;Cracow University of Technology;Multidisciplinary
2017;13.625;Cracow University of Technology;Multidisciplinary
2018;19.285715;Cracow University of Technology;Multidisciplinary
2019;2.4166667;Cracow University of Technology;Multidisciplinary
2020;2.3333333;Cracow University of Technology;Multidisciplinary
2021;4.125;Cracow University of Technology;Multidisciplinary
2022;0.6315789;Cracow University of Technology;Multidisciplinary
2023;None;Cracow University of Technology;Multidisciplinary
2012;None;University of Białystok;Multidisciplinary
2013;29.6;University of Białystok;Multidisciplinary
2014;17.5;University of Białystok;Multidisciplinary
2015;63.0;University of Białystok;Multidisciplinary
2016;11.5;University of Białystok;Multidisciplinary
2017;150.33333;University of Białystok;Multidisciplinary
2018;18.25;University of Białystok;Multidisciplinary
2019;16.428572;University of Białystok;Multidisciplinary
2020;8.333333;University of Białystok;Multidisciplinary
2021;10.5625;University of Białystok;Multidisciplinary
2022;0.71875;University of Białystok;Multidisciplinary
2023;0.0;University of Białystok;Multidisciplinary
2012;11.5;Warsaw University of Technology;Multidisciplinary
2013;8.25;Warsaw University of Technology;Multidisciplinary
2014;3.9333334;Warsaw University of Technology;Multidisciplinary
2015;12.6;Warsaw University of Technology;Multidisciplinary
2016;26.61111;Warsaw University of Technology;Multidisciplinary
2017;22.0;Warsaw University of Technology;Multidisciplinary
2018;10.318182;Warsaw University of Technology;Multidisciplinary
2019;30.695652;Warsaw University of Technology;Multidisciplinary
2020;23.538462;Warsaw University of Technology;Multidisciplinary
2021;3.8181818;Warsaw University of Technology;Multidisciplinary
2022;1.7468355;Warsaw University of Technology;Multidisciplinary
2023;0.7222222;Warsaw University of Technology;Multidisciplinary
2012;None;Poznan University of Economics and Business;Multidisciplinary
2013;None;Poznan University of Economics and Business;Multidisciplinary
2014;None;Poznan University of Economics and Business;Multidisciplinary
2015;None;Poznan University of Economics and Business;Multidisciplinary
2016;None;Poznan University of Economics and Business;Multidisciplinary
2017;None;Poznan University of Economics and Business;Multidisciplinary
2018;1.0;Poznan University of Economics and Business;Multidisciplinary
2019;None;Poznan University of Economics and Business;Multidisciplinary
2020;9.0;Poznan University of Economics and Business;Multidisciplinary
2021;13.2;Poznan University of Economics and Business;Multidisciplinary
2022;2.0;Poznan University of Economics and Business;Multidisciplinary
2023;0.25;Poznan University of Economics and Business;Multidisciplinary
2012;18.166666;AGH University of Science and Technology;Agricultural and Biological Sciences
2013;27.5;AGH University of Science and Technology;Agricultural and Biological Sciences
2014;51.125;AGH University of Science and Technology;Agricultural and Biological Sciences
2015;13.518518;AGH University of Science and Technology;Agricultural and Biological Sciences
2016;14.818182;AGH University of Science and Technology;Agricultural and Biological Sciences
2017;20.24;AGH University of Science and Technology;Agricultural and Biological Sciences
2018;18.181818;AGH University of Science and Technology;Agricultural and Biological Sciences
2019;13.557693;AGH University of Science and Technology;Agricultural and Biological Sciences
2020;9.644444;AGH University of Science and Technology;Agricultural and Biological Sciences
2021;5.3488374;AGH University of Science and Technology;Agricultural and Biological Sciences
2022;3.8;AGH University of Science and Technology;Agricultural and Biological Sciences
2023;0.4375;AGH University of Science and Technology;Agricultural and Biological Sciences
2012;4.3333335;Białystok University of Technology;Agricultural and Biological Sciences
2013;4.7777777;Białystok University of Technology;Agricultural and Biological Sciences
2014;14.444445;Białystok University of Technology;Agricultural and Biological Sciences
2015;7.7;Białystok University of Technology;Agricultural and Biological Sciences
2016;7.0;Białystok University of Technology;Agricultural and Biological Sciences
2017;6.4848485;Białystok University of Technology;Agricultural and Biological Sciences
