year;universityId;subjectAreaId;InstitutionalValue;InternationalValue;NationalValue;SingleAuthorshipValue
2012;AGH University of Science and Technology;Multidisciplinary;0.0;17.2;0.0;0.0
2013;AGH University of Science and Technology;Multidisciplinary;0.0;18.333334;12.333333;0.0
2014;AGH University of Science and Technology;Multidisciplinary;1.3333334;18.571428;9.5;4.0
2015;AGH University of Science and Technology;Multidisciplinary;0.5;30.533333;13.857142;1.25
2016;AGH University of Science and Technology;Multidisciplinary;11.0;57.5;7.0;0.0
2017;AGH University of Science and Technology;Multidisciplinary;2.6666667;49.2;5.6666665;1.375
2018;AGH University of Science and Technology;Multidisciplinary;15.5;18.0;10.25;0.8
2019;AGH University of Science and Technology;Multidisciplinary;16.0;7.3333335;12.2;0.18181819
2020;AGH University of Science and Technology;Multidisciplinary;4.0;29.222221;6.1;0.0
2021;AGH University of Science and Technology;Multidisciplinary;2.6666667;9.7;4.090909;0.125
2022;AGH University of Science and Technology;Multidisciplinary;3.1666667;3.581818;0.8333333;1.0
2023;AGH University of Science and Technology;Multidisciplinary;0.0;1.8;0.0;0.0
2012;Białystok University of Technology;Multidisciplinary;None;None;None;None
2013;Białystok University of Technology;Multidisciplinary;None;None;None;None
2014;Białystok University of Technology;Multidisciplinary;0.0;7.0;0.0;0.0
2015;Białystok University of Technology;Multidisciplinary;0.0;82.0;41.0;0.0
2016;Białystok University of Technology;Multidisciplinary;0.0;31.5;0.0;0.0
2017;Białystok University of Technology;Multidisciplinary;0.0;19.0;17.0;0.0
2018;Białystok University of Technology;Multidisciplinary;0.0;0.0;8.5;0.0
2019;Białystok University of Technology;Multidisciplinary;0.0;12.0;3.0;0.0
2020;Białystok University of Technology;Multidisciplinary;2.0;0.0;17.571428;5.0
2021;Białystok University of Technology;Multidisciplinary;1.0;4.2;7.0;8.0
2022;Białystok University of Technology;Multidisciplinary;0.0;1.6666666;1.3333334;1.0
2023;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.5;0.0
2012;Cracow University of Technology;Multidisciplinary;None;None;None;None
2013;Cracow University of Technology;Multidisciplinary;None;None;None;None
2014;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0
2015;Cracow University of Technology;Multidisciplinary;0.0;0.0;2.0;0.0
2016;Cracow University of Technology;Multidisciplinary;0.0;9.0;0.0;0.0
2017;Cracow University of Technology;Multidisciplinary;5.0;3.3333333;42.0;0.0
2018;Cracow University of Technology;Multidisciplinary;47.0;0.5;28.0;3.0
2019;Cracow University of Technology;Multidisciplinary;0.0;0.75;5.75;1.0
2020;Cracow University of Technology;Multidisciplinary;1.3333334;0.0;5.0;2.5
2021;Cracow University of Technology;Multidisciplinary;0.0;5.0;4.3333335;0.0
2022;Cracow University of Technology;Multidisciplinary;0.0;0.25;2.6666667;0.0
2023;Cracow University of Technology;Multidisciplinary;None;None;None;None
2012;University of Białystok;Multidisciplinary;None;None;None;None
2013;University of Białystok;Multidisciplinary;13.5;40.333332;0.0;0.0
2014;University of Białystok;Multidisciplinary;0.0;17.5;0.0;0.0
2015;University of Białystok;Multidisciplinary;0.0;81.0;45.0;0.0
2016;University of Białystok;Multidisciplinary;0.0;12.0;11.0;0.0
2017;University of Białystok;Multidisciplinary;0.0;177.2;16.0;0.0
2018;University of Białystok;Multidisciplinary;4.0;35.0;9.25;0.0
2019;University of Białystok;Multidisciplinary;7.0;19.666666;16.333334;0.0
2020;University of Białystok;Multidisciplinary;10.0;8.5;7.714286;0.0
2021;University of Białystok;Multidisciplinary;1.0;18.0;3.4285715;0.0
2022;University of Białystok;Multidisciplinary;0.0;0.71428573;1.0;0.0
2023;University of Białystok;Multidisciplinary;0.0;0.0;0.0;0.0
2012;Warsaw University of Technology;Multidisciplinary;0.0;18.5;6.0;0.0
2013;Warsaw University of Technology;Multidisciplinary;0.0;32.0;0.0;0.5
2014;Warsaw University of Technology;Multidisciplinary;2.3333333;8.5;6.2;0.8
2015;Warsaw University of Technology;Multidisciplinary;8.75;20.666666;11.6;0.0
2016;Warsaw University of Technology;Multidisciplinary;12.4;33.3;28.0;0.0
2017;Warsaw University of Technology;Multidisciplinary;3.6;53.636364;13.0;3.6666667
2018;Warsaw University of Technology;Multidisciplinary;0.0;11.769231;24.666666;0.0
2019;Warsaw University of Technology;Multidisciplinary;9.5;60.375;16.666666;4.0
2020;Warsaw University of Technology;Multidisciplinary;3.0;31.8125;9.714286;4.0
2021;Warsaw University of Technology;Multidisciplinary;4.8333335;3.75;4.0833335;1.0
2022;Warsaw University of Technology;Multidisciplinary;1.3333334;2.0943396;1.1666666;0.2
2023;Warsaw University of Technology;Multidisciplinary;0.0;1.125;0.5714286;0.0
2012;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2013;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2014;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2015;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2016;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2017;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2018;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;1.0;0.0
2019;Poznan University of Economics and Business;Multidisciplinary;None;None;None;None
2020;Poznan University of Economics and Business;Multidisciplinary;0.0;10.0;7.0;0.0
2021;Poznan University of Economics and Business;Multidisciplinary;0.0;1.0;16.25;0.0
2022;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;1.0;3.0
2023;Poznan University of Economics and Business;Multidisciplinary;0.0;0.0;0.33333334;0.0
