year;value;universityId;subjectAreaId
2012;2.5639517;AGH University of Science and Technology;Multidisciplinary
2013;0.36626992;AGH University of Science and Technology;Multidisciplinary
2014;1.4776639;AGH University of Science and Technology;Multidisciplinary
2015;1.2238197;AGH University of Science and Technology;Multidisciplinary
2016;1.141421;AGH University of Science and Technology;Multidisciplinary
2017;1.121666;AGH University of Science and Technology;Multidisciplinary
2018;0.5024697;AGH University of Science and Technology;Multidisciplinary
2019;0.6264212;AGH University of Science and Technology;Multidisciplinary
2020;0.8489041;AGH University of Science and Technology;Multidisciplinary
2021;0.83948606;AGH University of Science and Technology;Multidisciplinary
2022;1.2977064;AGH University of Science and Technology;Multidisciplinary
2023;4.5469;AGH University of Science and Technology;Multidisciplinary
2012;None;Białystok University of Technology;Multidisciplinary
2013;None;Białystok University of Technology;Multidisciplinary
2014;0.32262006;Białystok University of Technology;Multidisciplinary
2015;1.9988182;Białystok University of Technology;Multidisciplinary
2016;1.0451394;Białystok University of Technology;Multidisciplinary
2017;0.8282841;Białystok University of Technology;Multidisciplinary
2018;0.31642774;Białystok University of Technology;Multidisciplinary
2019;0.39870465;Białystok University of Technology;Multidisciplinary
2020;0.78127915;Białystok University of Technology;Multidisciplinary
2021;0.56623423;Białystok University of Technology;Multidisciplinary
2022;0.5350681;Białystok University of Technology;Multidisciplinary
2023;2.27345;Białystok University of Technology;Multidisciplinary
2012;None;Cracow University of Technology;Multidisciplinary
2013;None;Cracow University of Technology;Multidisciplinary
2014;0.0;Cracow University of Technology;Multidisciplinary
2015;1.0509936;Cracow University of Technology;Multidisciplinary
2016;0.15835446;Cracow University of Technology;Multidisciplinary
2017;4.596329;Cracow University of Technology;Multidisciplinary
2018;1.6115427;Cracow University of Technology;Multidisciplinary
2019;1.0644606;Cracow University of Technology;Multidisciplinary
2020;0.28196;Cracow University of Technology;Multidisciplinary
2021;0.5426943;Cracow University of Technology;Multidisciplinary
2022;0.8170519;Cracow University of Technology;Multidisciplinary
2023;None;Cracow University of Technology;Multidisciplinary
2012;None;University of Białystok;Multidisciplinary
2013;0.70254093;University of Białystok;Multidisciplinary
2014;0.31866702;University of Białystok;Multidisciplinary
2015;1.7128243;University of Białystok;Multidisciplinary
2016;0.3800507;University of Białystok;Multidisciplinary
2017;4.8717213;University of Białystok;Multidisciplinary
2018;0.7746912;University of Białystok;Multidisciplinary
2019;0.78222054;University of Białystok;Multidisciplinary
2020;0.4599573;University of Białystok;Multidisciplinary
2021;0.97239417;University of Białystok;Multidisciplinary
2022;0.4292765;University of Białystok;Multidisciplinary
2023;0.0;University of Białystok;Multidisciplinary
2012;0.7039096;Warsaw University of Technology;Multidisciplinary
2013;0.28458592;Warsaw University of Technology;Multidisciplinary
2014;1.07454;Warsaw University of Technology;Multidisciplinary
2015;2.1667469;Warsaw University of Technology;Multidisciplinary
2016;1.4374492;Warsaw University of Technology;Multidisciplinary
2017;1.0466187;Warsaw University of Technology;Multidisciplinary
2018;0.34200117;Warsaw University of Technology;Multidisciplinary
2019;1.8798594;Warsaw University of Technology;Multidisciplinary
2020;2.9970386;Warsaw University of Technology;Multidisciplinary
2021;0.5398941;Warsaw University of Technology;Multidisciplinary
2022;0.98664564;Warsaw University of Technology;Multidisciplinary
2023;3.283872;Warsaw University of Technology;Multidisciplinary
2012;None;Poznan University of Economics and Business;Multidisciplinary
2013;None;Poznan University of Economics and Business;Multidisciplinary
2014;None;Poznan University of Economics and Business;Multidisciplinary
2015;None;Poznan University of Economics and Business;Multidisciplinary
2016;None;Poznan University of Economics and Business;Multidisciplinary
2017;None;Poznan University of Economics and Business;Multidisciplinary
2018;0.052737955;Poznan University of Economics and Business;Multidisciplinary
2019;None;Poznan University of Economics and Business;Multidisciplinary
2020;0.6250866;Poznan University of Economics and Business;Multidisciplinary
2021;1.472209;Poznan University of Economics and Business;Multidisciplinary
2022;0.6740753;Poznan University of Economics and Business;Multidisciplinary
2023;1.136725;Poznan University of Economics and Business;Multidisciplinary
2012;0.9211519;AGH University of Science and Technology;Agricultural and Biological Sciences
2013;1.1159949;AGH University of Science and Technology;Agricultural and Biological Sciences
2014;1.4955575;AGH University of Science and Technology;Agricultural and Biological Sciences
2015;0.5637699;AGH University of Science and Technology;Agricultural and Biological Sciences
2016;0.8849191;AGH University of Science and Technology;Agricultural and Biological Sciences
2017;0.88561887;AGH University of Science and Technology;Agricultural and Biological Sciences
