year;universityId;subjectAreaId;threshold1Value;threshold1PercentageValue;threshold5Value;threshold5PercentageValue;threshold10Value;threshold10PercentageValue;threshold25Value;threshold25PercentageValue
2012;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;1.0;14.285715;1.0;14.285715;1.0;14.285715
2013;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;2.0;33.333336
2014;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;6.666667;3.0;20.0
2015;AGH University of Science and Technology;Multidisciplinary;1.0;3.125;1.0;3.125;3.0;9.375;5.0;15.625
2016;AGH University of Science and Technology;Multidisciplinary;1.0;6.666667;2.0;13.333334;2.0;13.333334;6.0;40.0
2017;AGH University of Science and Technology;Multidisciplinary;1.0;3.125;2.0;6.25;4.0;12.5;9.0;28.125
2018;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;1.0;6.666667;1.0;6.666667;4.0;26.666668
2019;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;7.1428576;7.0;25.0
2020;AGH University of Science and Technology;Multidisciplinary;1.0;4.5454545;2.0;9.090909;4.0;18.181818;7.0;31.818182
2021;AGH University of Science and Technology;Multidisciplinary;1.0;2.3809524;2.0;4.7619047;7.0;16.666668;12.0;28.57143
2022;AGH University of Science and Technology;Multidisciplinary;2.0;2.6666667;4.0;5.3333335;7.0;9.333333;12.0;16.0
2023;AGH University of Science and Technology;Multidisciplinary;1.0;11.111112;1.0;11.111112;2.0;22.222223;None;None
2012;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;Białystok University of Technology;Multidisciplinary;0.0;0.0;1.0;50.0;1.0;50.0;2.0;100.0
2016;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;50.0;1.0;50.0
