year;universityId;subjectAreaId;threshold1Value;threshold1PercentageValue;threshold5Value;threshold5PercentageValue;threshold10Value;threshold10PercentageValue;threshold25Value;threshold25PercentageValue
2012;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;1.0;100.0;1.0;100.0;1.0;100.0
2013;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;66.66667;3.0;100.0
2014;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;2.0;100.0
2015;AGH University of Science and Technology;Multidisciplinary;2.0;33.333336;4.0;66.66667;4.0;66.66667;5.0;83.33333
2016;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;1.0;16.666668;5.0;83.33333;6.0;100.0
2017;AGH University of Science and Technology;Multidisciplinary;1.0;4.0;2.0;8.0;12.0;48.0;13.0;52.0
2018;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;0.0;0.0;9.0;60.000004;11.0;73.333336
2019;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;2.0;7.1428576;10.0;35.714287;13.0;46.42857
2020;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;1.0;4.5454545;17.0;77.27273;19.0;86.36364
2021;AGH University of Science and Technology;Multidisciplinary;0.0;0.0;5.0;11.904762;23.0;54.761906;25.0;59.523808
2022;AGH University of Science and Technology;Multidisciplinary;2.0;2.6666667;7.0;9.333333;26.0;34.666668;29.0;38.666664
2023;AGH University of Science and Technology;Multidisciplinary;1.0;11.111112;1.0;11.111112;7.0;77.77778;9.0;100.0
2012;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2015;Białystok University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2016;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;100.0;2.0;100.0
2017;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;50.0;2.0;100.0
2018;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;1.0;50.0;1.0;50.0
2019;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;100.0;2.0;100.0
2020;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;9.0;100.0;9.0;100.0
2021;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;9.0;69.230774;12.0;92.30769
2022;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;7.0;100.0;7.0;100.0
2023;Białystok University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;100.0;2.0;100.0
2012;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2013;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2014;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2015;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
2016;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;Cracow University of Technology;Multidisciplinary;0.0;0.0;1.0;16.666668;2.0;33.333336;4.0;66.66667
2019;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;25.0;2.0;25.0
2020;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;2.0;33.333336;3.0;50.0
2021;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;3.0;37.5;4.0;50.0
2022;Cracow University of Technology;Multidisciplinary;0.0;0.0;0.0;0.0;5.0;26.31579;7.0;36.842106
2023;Cracow University of Technology;Multidisciplinary;None;None;None;None;None;None;None;None
