year;value;universityId;subjectAreaId
2012;7.0;AGH University of Science and Technology;Multidisciplinary
2013;6.0;AGH University of Science and Technology;Multidisciplinary
2014;15.0;AGH University of Science and Technology;Multidisciplinary
2015;32.0;AGH University of Science and Technology;Multidisciplinary
2016;15.0;AGH University of Science and Technology;Multidisciplinary
2017;32.0;AGH University of Science and Technology;Multidisciplinary
2018;15.0;AGH University of Science and Technology;Multidisciplinary
2019;28.0;AGH University of Science and Technology;Multidisciplinary
2020;22.0;AGH University of Science and Technology;Multidisciplinary
2021;42.0;AGH University of Science and Technology;Multidisciplinary
2022;75.0;AGH University of Science and Technology;Multidisciplinary
2023;9.0;AGH University of Science and Technology;Multidisciplinary
2012;0.0;Białystok University of Technology;Multidisciplinary
2013;0.0;Białystok University of Technology;Multidisciplinary
2014;2.0;Białystok University of Technology;Multidisciplinary
2015;2.0;Białystok University of Technology;Multidisciplinary
2016;2.0;Białystok University of Technology;Multidisciplinary
2017;4.0;Białystok University of Technology;Multidisciplinary
2018;2.0;Białystok University of Technology;Multidisciplinary
2019;2.0;Białystok University of Technology;Multidisciplinary
2020;9.0;Białystok University of Technology;Multidisciplinary
2021;13.0;Białystok University of Technology;Multidisciplinary
2022;7.0;Białystok University of Technology;Multidisciplinary
2023;2.0;Białystok University of Technology;Multidisciplinary
2012;0.0;Cracow University of Technology;Multidisciplinary
2013;0.0;Cracow University of Technology;Multidisciplinary
2014;1.0;Cracow University of Technology;Multidisciplinary
2015;1.0;Cracow University of Technology;Multidisciplinary
2016;2.0;Cracow University of Technology;Multidisciplinary
2017;8.0;Cracow University of Technology;Multidisciplinary
2018;7.0;Cracow University of Technology;Multidisciplinary
2019;12.0;Cracow University of Technology;Multidisciplinary
2020;6.0;Cracow University of Technology;Multidisciplinary
2021;8.0;Cracow University of Technology;Multidisciplinary
2022;19.0;Cracow University of Technology;Multidisciplinary
2023;0.0;Cracow University of Technology;Multidisciplinary
2012;0.0;University of Białystok;Multidisciplinary
2013;5.0;University of Białystok;Multidisciplinary
2014;2.0;University of Białystok;Multidisciplinary
2015;2.0;University of Białystok;Multidisciplinary
2016;2.0;University of Białystok;Multidisciplinary
2017;6.0;University of Białystok;Multidisciplinary
2018;8.0;University of Białystok;Multidisciplinary
2019;7.0;University of Białystok;Multidisciplinary
2020;15.0;University of Białystok;Multidisciplinary
2021;16.0;University of Białystok;Multidisciplinary
2022;32.0;University of Białystok;Multidisciplinary
2023;3.0;University of Białystok;Multidisciplinary
2012;8.0;Warsaw University of Technology;Multidisciplinary
2013;4.0;Warsaw University of Technology;Multidisciplinary
2014;15.0;Warsaw University of Technology;Multidisciplinary
2015;20.0;Warsaw University of Technology;Multidisciplinary
2016;18.0;Warsaw University of Technology;Multidisciplinary
2017;33.0;Warsaw University of Technology;Multidisciplinary
2018;22.0;Warsaw University of Technology;Multidisciplinary
2019;23.0;Warsaw University of Technology;Multidisciplinary
2020;26.0;Warsaw University of Technology;Multidisciplinary
2021;33.0;Warsaw University of Technology;Multidisciplinary
2022;79.0;Warsaw University of Technology;Multidisciplinary
2023;18.0;Warsaw University of Technology;Multidisciplinary
2012;0.0;Poznan University of Economics and Business;Multidisciplinary
2013;0.0;Poznan University of Economics and Business;Multidisciplinary
2014;0.0;Poznan University of Economics and Business;Multidisciplinary
2015;0.0;Poznan University of Economics and Business;Multidisciplinary
2016;0.0;Poznan University of Economics and Business;Multidisciplinary
2017;0.0;Poznan University of Economics and Business;Multidisciplinary
2018;1.0;Poznan University of Economics and Business;Multidisciplinary
2019;0.0;Poznan University of Economics and Business;Multidisciplinary
2020;3.0;Poznan University of Economics and Business;Multidisciplinary
2021;5.0;Poznan University of Economics and Business;Multidisciplinary
2022;2.0;Poznan University of Economics and Business;Multidisciplinary
2023;4.0;Poznan University of Economics and Business;Multidisciplinary
2012;12.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2013;14.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2014;24.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2015;27.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2016;44.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2017;25.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2018;33.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2019;52.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2020;45.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2021;43.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2022;35.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2023;16.0;AGH University of Science and Technology;Agricultural and Biological Sciences
2012;12.0;Białystok University of Technology;Agricultural and Biological Sciences
2013;9.0;Białystok University of Technology;Agricultural and Biological Sciences
2014;27.0;Białystok University of Technology;Agricultural and Biological Sciences
2015;50.0;Białystok University of Technology;Agricultural and Biological Sciences
2016;46.0;Białystok University of Technology;Agricultural and Biological Sciences
2017;33.0;Białystok University of Technology;Agricultural and Biological Sciences
2018;59.0;Białystok University of Technology;Agricultural and Biological Sciences
2019;58.0;Białystok University of Technology;Agricultural and Biological Sciences
2020;49.0;Białystok University of Technology;Agricultural and Biological Sciences
2021;35.0;Białystok University of Technology;Agricultural and Biological Sciences
2022;38.0;Białystok University of Technology;Agricultural and Biological Sciences
