10;Multidisciplinary;Class/ASJC/Code/10
11;Agricultural and Biological Sciences;Class/ASJC/Code/11
12;Arts and Humanities;Class/ASJC/Code/12
13;Biochemistry, Genetics and Molecular Biology;Class/ASJC/Code/13
14;Business, Management and Accounting;Class/ASJC/Code/14
15;Chemical Engineering;Class/ASJC/Code/15
16;Chemistry;Class/ASJC/Code/16
17;Computer Science;Class/ASJC/Code/17
18;Decision Sciences;Class/ASJC/Code/18
19;Earth and Planetary Sciences;Class/ASJC/Code/19
20;Economics, Econometrics and Finance;Class/ASJC/Code/20
21;Energy;Class/ASJC/Code/21
22;Engineering;Class/ASJC/Code/22
23;Environmental Science;Class/ASJC/Code/23
24;Immunology and Microbiology;Class/ASJC/Code/24
25;Materials Science;Class/ASJC/Code/25
26;Mathematics;Class/ASJC/Code/26
27;Medicine;Class/ASJC/Code/27
28;Neuroscience;Class/ASJC/Code/28
29;Nursing;Class/ASJC/Code/29
30;Pharmacology, Toxicology and Pharmaceutics;Class/ASJC/Code/30
31;Physics and Astronomy;Class/ASJC/Code/31
32;Psychology;Class/ASJC/Code/32
33;Social Sciences;Class/ASJC/Code/33
34;Veterinary;Class/ASJC/Code/34
35;Dentistry;Class/ASJC/Code/35
36;Health Professions;Class/ASJC/Code/36
