year,universityId,subjectAreaId,subjectId,amount
2012,327005,10,10,0
2013,327005,10,10,0
2014,327005,10,10,2
2015,327005,10,10,2
2016,327005,10,10,2
2017,327005,10,10,4
2018,327005,10,10,2
2019,327005,10,10,2
2020,327005,10,10,9
2021,327005,10,10,13
2012,327005,11,11,12
2013,327005,11,11,9
2014,327005,11,11,27
2015,327005,11,11,50
2016,327005,11,11,46
2017,327005,11,11,33
2018,327005,11,11,60
2019,327005,11,11,58
2020,327005,11,11,48
2021,327005,11,11,35
2012,327005,12,12,3
2013,327005,12,12,4
2014,327005,12,12,5
2015,327005,12,12,8
2016,327005,12,12,7
2017,327005,12,12,5
2018,327005,12,12,15
2019,327005,12,12,3
2020,327005,12,12,4
2021,327005,12,12,6
2012,327005,13,13,3
2013,327005,13,13,7
2014,327005,13,13,11
2015,327005,13,13,10
2016,327005,13,13,21
2017,327005,13,13,20
2018,327005,13,13,47
2019,327005,13,13,28
2020,327005,13,13,24
2021,327005,13,13,29
2012,327005,14,14,8
2013,327005,14,14,6
2014,327005,14,14,4
2015,327005,14,14,17
2016,327005,14,14,34
2017,327005,14,14,42
2018,327005,14,14,33
2019,327005,14,14,27
2020,327005,14,14,43
2021,327005,14,14,31
2012,327005,15,15,12
2013,327005,15,15,9
2014,327005,15,15,16
2015,327005,15,15,18
2016,327005,15,15,21
2017,327005,15,15,23
2018,327005,15,15,49
2019,327005,15,15,25
2020,327005,15,15,43
2021,327005,15,15,31
2012,327005,16,16,10
2013,327005,16,16,12
2014,327005,16,16,15
2015,327005,16,16,11
2016,327005,16,16,14
2017,327005,16,16,19
2018,327005,16,16,50
2019,327005,16,16,36
2020,327005,16,16,25
2021,327005,16,16,26
2012,327005,17,17,69
2013,327005,17,17,80
2014,327005,17,17,118
2015,327005,17,17,118
2016,327005,17,17,137
2017,327005,17,17,147
2018,327005,17,17,144
2019,327005,17,17,141
2020,327005,17,17,150
2021,327005,17,17,119
2012,327005,18,18,5
2013,327005,18,18,3
2014,327005,18,18,10
2015,327005,18,18,10
2016,327005,18,18,3
2017,327005,18,18,6
2018,327005,18,18,4
2019,327005,18,18,9
2020,327005,18,18,8
2021,327005,18,18,13
2012,327005,19,19,5
2013,327005,19,19,4
2014,327005,19,19,6
2015,327005,19,19,6
2016,327005,19,19,6
2017,327005,19,19,30
2018,327005,19,19,42
2019,327005,19,19,28
2020,327005,19,19,10
2021,327005,19,19,14
2012,327005,20,20,1
2013,327005,20,20,10
2014,327005,20,20,12
2015,327005,20,20,14
2016,327005,20,20,12
2017,327005,20,20,16
2018,327005,20,20,16
2019,327005,20,20,19
2020,327005,20,20,42
2021,327005,20,20,37
2012,327005,21,21,4
2013,327005,21,21,4
2014,327005,21,21,10
2015,327005,21,21,7
2016,327005,21,21,13
2017,327005,21,21,39
2018,327005,21,21,54
2019,327005,21,21,67
2020,327005,21,21,77
2021,327005,21,21,75
2012,327005,22,22,180
2013,327005,22,22,193
2014,327005,22,22,231
2015,327005,22,22,235
2016,327005,22,22,309
2017,327005,22,22,341
2018,327005,22,22,330
2019,327005,22,22,294
2020,327005,22,22,318
2021,327005,22,22,241
2012,327005,23,23,10
2013,327005,23,23,24
2014,327005,23,23,37
2015,327005,23,23,56
2016,327005,23,23,54
2017,327005,23,23,77
2018,327005,23,23,111
2019,327005,23,23,99
2020,327005,23,23,84
2021,327005,23,23,76
2012,327005,24,24,0
2013,327005,24,24,1
2014,327005,24,24,1
2015,327005,24,24,2
2016,327005,24,24,1
2017,327005,24,24,0
2018,327005,24,24,5
2019,327005,24,24,5
2020,327005,24,24,5
2021,327005,24,24,2
2012,327005,25,25,33
2013,327005,25,25,81
2014,327005,25,25,59
2015,327005,25,25,67
2016,327005,25,25,85
2017,327005,25,25,102
2018,327005,25,25,83
2019,327005,25,25,111
2020,327005,25,25,135
2021,327005,25,25,102
